Test Case ID,Summary,Issue Type,Priority,Component,Precondition,Test Steps,Test Data,Expected Result,Labels,Automation Status
RB_TC_001,Verify auth token generation with valid credentials,Test,High,Authentication,Auth endpoint is accessible,1. Send POST request to /auth with valid username and password,"{""username"":""admin"",""password"":""password123""}",API returns 200 status and authentication token,"API,Authentication,Positive",Automated
RB_TC_002,Verify auth token generation with invalid credentials,Test,High,Authentication,Auth endpoint is accessible,1. Send POST request to /auth with invalid credentials,"{""username"":""invalid"",""password"":""invalid""}",API rejects authentication request,"API,Authentication,Negative",Automated
RB_TC_003,Verify retrieval of all booking IDs,Test,Medium,Booking,Booking API is available,1. Send GET request to /booking,N/A,API returns list of booking IDs with 200 status,"API,GET,Positive",Automated
RB_TC_004,Verify booking retrieval by valid booking ID,Test,High,Booking,Valid booking ID exists,1. Send GET request to /booking/{id},bookingid=1,Booking details are returned successfully,"API,GET,Positive",Automated
RB_TC_005,Verify booking retrieval with invalid booking ID,Test,High,Booking,Invalid booking ID used,1. Send GET request to /booking/{id} with invalid ID,bookingid=999999,API returns appropriate error response,"API,GET,Negative",Automated
RB_TC_006,Verify booking creation with valid payload,Test,Critical,Booking,Booking endpoint is accessible,1. Send POST request to /booking with valid booking payload,"{""firstname"":""Jim"",""lastname"":""Brown""}",Booking is created successfully with booking ID,"API,POST,Positive",Automated
RB_TC_007,Verify booking creation with missing mandatory fields,Test,High,Booking,Booking endpoint is accessible,1. Send POST request with incomplete payload,"{""firstname"":""Jim""}",API returns validation failure or error response,"API,POST,Negative",Automated
RB_TC_008,Verify complete booking update using PUT,Test,Critical,Booking,Valid auth token and booking ID available,1. Send PUT request to /booking/{id} with updated payload,"{""firstname"":""James"",""lastname"":""Brown""}",Booking is updated successfully,"API,PUT,Positive",Automated
RB_TC_009,Verify partial booking update using PATCH,Test,High,Booking,Valid auth token and booking ID available,1. Send PATCH request with partial payload,"{""firstname"":""James""}",Specified fields are updated successfully,"API,PATCH,Positive",Automated
RB_TC_010,Verify booking deletion using DELETE,Test,Critical,Booking,Valid auth token and booking ID available,1. Send DELETE request to /booking/{id},bookingid=1,Booking is deleted successfully,"API,DELETE,Positive",Automated
RB_TC_011,Verify booking filtering by firstname and lastname,Test,Medium,Booking Search,Bookings exist with filter criteria,1. Send GET request with firstname and lastname query parameters,firstname=sally&lastname=brown,Filtered booking IDs are returned,"API,Filter,Positive",Automated
RB_TC_012,Verify booking filtering by check-in and check-out dates,Test,Medium,Booking Search,Bookings exist within specified dates,1. Send GET request with checkin and checkout query parameters,checkin=2025-01-01&checkout=2025-12-31,Matching booking IDs are returned,"API,Filter,Positive",Automated
RB_TC_013,Verify API supports JSON content type,Test,Medium,Headers,API endpoint accessible,1. Send request with Content-Type application/json,Content-Type: application/json,API processes request successfully,"API,Headers,Compatibility",Automated
RB_TC_014,Verify API supports XML content type,Test,Medium,Headers,API endpoint accessible,1. Send request with Content-Type text/xml,Content-Type: text/xml,API processes XML payload successfully,"API,Headers,Compatibility",Automated
RB_TC_015,Verify health check endpoint availability,Test,High,Health Check,API server is running,1. Send GET request to /ping,N/A,API returns successful health check response,"API,HealthCheck,Smoke",Automated
